precision,recall,f1-score,support
0,0.51,0.75,0.61,102340
1,0.66,0.96,0.78,23699
2,0.89,0.84,0.86,26864
3,0.93,0.72,0.81,22132
4,0.63,0.87,0.73,32033
5,0.76,0.85,0.80,24646
6,0.19,0.01,0.02,24577
7,0.63,0.15,0.24,26271
12,0.60,0.65,0.63,14281
13,0.66,0.48,0.56,12727
16,0.57,0.07,0.13,24445
17,0.85,0.85,0.85,33034
24,0.35,0.31,0.33,7732
0,0.62,0.81,0.70,102340
1,0.97,0.91,0.94,23699
2,1.00,0.65,0.79,26864
3,0.60,0.66,0.63,22132
4,0.91,0.77,0.83,32033
5,1.00,0.00,0.00,24646
6,0.87,0.72,0.79,24577
7,0.31,0.47,0.37,26271
12,0.52,0.59,0.55,14281
13,0.61,0.50,0.55,12727
16,0.89,0.72,0.79,24445
17,0.75,0.91,0.82,33034
24,0.59,0.24,0.34,7732
0,0.56,0.60,0.58,102340
1,0.92,0.93,0.93,23699
2,0.94,0.78,0.85,26864
3,0.83,0.82,0.82,22132
4,0.85,0.88,0.87,32033
5,0.39,0.21,0.27,24646
6,0.77,0.89,0.82,24577
7,0.80,0.95,0.87,26271
12,0.32,0.33,0.33,14281
13,0.16,0.22,0.19,12727
16,0.90,0.67,0.77,24445
17,0.89,0.96,0.92,33034
24,0.00,0.00,0.00,7732